게임시간,게임모드,챔피언,킬,데스,어시스트,승리,미니언처치,골드획득
17:00,무작위 총력전(칼바람),코르키,7,17,19,패배,23,11210
08:56,무작위 총력전(칼바람),아리,4,1,23,승리,15,6573
21:21,무작위 총력전(칼바람),타릭,2,9,29,패배,7,11800
23:45,무작위 총력전(칼바람),노틸러스,22,19,25,패배,64,18108
17:27,무작위 총력전(칼바람),직스,12,7,36,승리,65,13239
17:56,무작위 총력전(칼바람),카사딘,2,6,19,승리,36,10746
24:15,무작위 총력전(칼바람),빅토르,14,15,37,승리,61,17252
15:53,무작위 총력전(칼바람),스카너,1,13,24,패배,14,8963
15:20,무작위 총력전(칼바람),미스 포츈,8,11,8,패배,55,10908
25:19,무작위 총력전(칼바람),나르,3,17,24,승리,67,14913
17:00,무작위 총력전(칼바람),코르키,7,17,19,패배,23,11210
08:56,무작위 총력전(칼바람),아리,4,1,23,승리,15,6573
21:21,무작위 총력전(칼바람),타릭,2,9,29,패배,7,11800
23:45,무작위 총력전(칼바람),노틸러스,22,19,25,패배,64,18108
17:27,무작위 총력전(칼바람),직스,12,7,36,승리,65,13239
17:56,무작위 총력전(칼바람),카사딘,2,6,19,승리,36,10746
24:15,무작위 총력전(칼바람),빅토르,14,15,37,승리,61,17252
15:53,무작위 총력전(칼바람),스카너,1,13,24,패배,14,8963
15:20,무작위 총력전(칼바람),미스 포츈,8,11,8,패배,55,10908
25:19,무작위 총력전(칼바람),나르,3,17,24,승리,67,14913
17:00,무작위 총력전(칼바람),코르키,7,17,19,패배,23,11210
08:56,무작위 총력전(칼바람),아리,4,1,23,승리,15,6573
21:21,무작위 총력전(칼바람),타릭,2,9,29,패배,7,11800
23:45,무작위 총력전(칼바람),노틸러스,22,19,25,패배,64,18108
17:27,무작위 총력전(칼바람),직스,12,7,36,승리,65,13239
17:56,무작위 총력전(칼바람),카사딘,2,6,19,승리,36,10746
24:15,무작위 총력전(칼바람),빅토르,14,15,37,승리,61,17252
15:53,무작위 총력전(칼바람),스카너,1,13,24,패배,14,8963
15:20,무작위 총력전(칼바람),미스 포츈,8,11,8,패배,55,10908
25:19,무작위 총력전(칼바람),나르,3,17,24,승리,67,14913
17:00,무작위 총력전(칼바람),코르키,7,17,19,패배,23,11210
08:56,무작위 총력전(칼바람),아리,4,1,23,승리,15,6573
21:21,무작위 총력전(칼바람),타릭,2,9,29,패배,7,11800
23:45,무작위 총력전(칼바람),노틸러스,22,19,25,패배,64,18108
17:27,무작위 총력전(칼바람),직스,12,7,36,승리,65,13239
17:56,무작위 총력전(칼바람),카사딘,2,6,19,승리,36,10746
24:15,무작위 총력전(칼바람),빅토르,14,15,37,승리,61,17252
15:53,무작위 총력전(칼바람),스카너,1,13,24,패배,14,8963
15:20,무작위 총력전(칼바람),미스 포츈,8,11,8,패배,55,10908
25:19,무작위 총력전(칼바람),나르,3,17,24,승리,67,14913
17:00,무작위 총력전(칼바람),코르키,7,17,19,패배,23,11210
08:56,무작위 총력전(칼바람),아리,4,1,23,승리,15,6573
21:21,무작위 총력전(칼바람),타릭,2,9,29,패배,7,11800
23:45,무작위 총력전(칼바람),노틸러스,22,19,25,패배,64,18108
17:27,무작위 총력전(칼바람),직스,12,7,36,승리,65,13239
17:56,무작위 총력전(칼바람),카사딘,2,6,19,승리,36,10746
24:15,무작위 총력전(칼바람),빅토르,14,15,37,승리,61,17252
15:53,무작위 총력전(칼바람),스카너,1,13,24,패배,14,8963
15:20,무작위 총력전(칼바람),미스 포츈,8,11,8,패배,55,10908
25:19,무작위 총력전(칼바람),나르,3,17,24,승리,67,14913
17:00,무작위 총력전(칼바람),코르키,7,17,19,패배,23,11210
08:56,무작위 총력전(칼바람),아리,4,1,23,승리,15,6573
21:21,무작위 총력전(칼바람),타릭,2,9,29,패배,7,11800
23:45,무작위 총력전(칼바람),노틸러스,22,19,25,패배,64,18108
17:27,무작위 총력전(칼바람),직스,12,7,36,승리,65,13239
17:56,무작위 총력전(칼바람),카사딘,2,6,19,승리,36,10746
24:15,무작위 총력전(칼바람),빅토르,14,15,37,승리,61,17252
15:53,무작위 총력전(칼바람),스카너,1,13,24,패배,14,8963
15:20,무작위 총력전(칼바람),미스 포츈,8,11,8,패배,55,10908
25:19,무작위 총력전(칼바람),나르,3,17,24,승리,67,14913
